PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ward, J; Mochel, JP; Seo, YJ; Sathe, S				Ward, J.; Mochel, J. P.; Seo, Y-J; Sathe, S.			Effects of the estrous cycle and pregnancy status on cardiovascular variables in healthy bitches	JOURNAL OF VETERINARY CARDIOLOGY			English	Article						Echocardiography; Cardiac output; Heart murmur; Fetus	VENTRICULAR SYSTOLIC FUNCTION; GOLDEN RETRIEVER PUPPIES; SUBAORTIC STENOSIS; CARDIAC-OUTPUT; HEART-RATE; ECHOCARDIOGRAPHY; DOGS; VELOCITY; VOLUME; HEMODYNAMICS	Introduction: The aim of the study was to characterize changes in maternal cardiovascular variables throughout the reproductive cycle in healthy bitches and determine whether magnitude of pregnancy-induced changes correlates to litter size. Animals: Eleven client-owned breeding bitches were included in the study. Materials and methods: Bitches were enrolled prospectively and followed up longitudinally throughout a single reproductive cycle. Physical examination, echocardiography, blood pressure analysis, and plasma volume estimation were performed during proestrus, diestrus (early and late pregnancy), and anestrus. Fetal echocardiography was performed during late pregnancy. Data were compared across visits using a linear mixed-effects model, and correlation between variables was assessed. Results: Compared with proestrus, no significant changes were observed at any phase of the cycle in heart rate, blood pressure, echocardiographic measurements of left ventricular size or function, or echocardiographic calculations of stroke volume or cardiac output. Estimated plasma volume increased by 29.6% in early pregnancy (p < 0.001) and 70.7% in late pregnancy (p < 0.001). Fetal echocardiography was feasible in a subset of fetuses for each bitch. There was a significant correlation between estimated total fetal cardiac output and late pregnancy increase in maternal cardiac output (p = 0.0025). The incidence of physiologic heart murmurs ranged from 5 of 11 (45%) bitches in proestrus to 2 of 11 (18%) bitches in late pregnancy, attributed to variations in aortic outflow velocity. Conclusions: Hemodynamic alterations in pregnant bitches do not result in consistently detectable echocardiographic changes, suggesting that cardiac screening could be diagnostic at any time during a reproductive cycle. Physiologic heart murmurs were common in this study population and not obviously associated with the reproductive cycle. (C) 2020 Elsevier B.V. All rights reserved.	[Ward, J.; Sathe, S.] Iowa State Univ, Coll Vet Med, Dept Vet Clin Sci, 1809 S Riverside Dr, Ames, IA 50011 USA; [Mochel, J. P.; Seo, Y-J] Iowa State Univ, Coll Vet Med, Dept Biomed Sci, SMART Pharmacol, 1809 S Riverside Dr, Ames, IA 50011 USA	Ward, J (corresponding author), Iowa State Univ, Coll Vet Med, Dept Vet Clin Sci, 1809 S Riverside Dr, Ames, IA 50011 USA.	jward@iastate.edu	Mochel, Jonathan/AAR-3496-2021	Mochel, Jonathan/0000-0002-0997-3111	Iowa State University	This study was supported by the authors' start-up funding at Iowa State University. The results were presented in abstract form at the 2018 conference of the American College of Theriogenologists.		51	1	1	0	0	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	1760-2734	1875-0834		J VET CARDIOL	J. Vet. Cardiol.	AUG	2020	30						57	68		10.1016/j.jvc.2020.05.004			12	Veterinary Sciences	Veterinary Sciences	NH8OM	WOS:000564922900007	32688281	Green Published			2021-09-15	
J	Fries-Craft, K; Anast, JM; Schmitz-Esser, S; Bobeck, EA				Fries-Craft, K.; Anast, J. M.; Schmitz-Esser, S.; Bobeck, E. A.			Host immunity and the colon microbiota of mice infected with Citrobacter rodentium are beneficially modulated by lipid-soluble extract from late-cutting alfalfa in the early stages of infection	PLOS ONE			English	Article							GUT MICROBIOTA; SEQUENCE DATA; SAPONINS; DISEASE; STEM; MATURITY; POLYSACCHARIDE; INFLAMMATION; QUERCETIN; RESPONSES	Alfalfa is a forage legume commonly associated with ruminant livestock production that may be a potential source of health-promoting phytochemicals. Anecdotal evidence from producers suggests that later cuttings of alfalfa may be more beneficial to non-ruminants; however, published literature varies greatly in measured outcomes, supplement form, and cutting. The objective of this study was to measure body weight, average daily feed intake, host immunity, and the colon microbiota composition in mice fed hay, aqueous, and chloroform extracts of early (1(st)) and late (5(th)) cutting alfalfa before and after challenge withCitrobacter rodentium. Prior to inoculation, alfalfa supplementation did not have a significant impact on body weight or feed intake, but 5(th)cutting alfalfa was shown to improve body weight at 5- and 6-days post-infection compared to 1(st)cutting alfalfa (P= 0.02 and 0.01). Combined with the observation that both chloroform extracts improved mouse body weight compared to control diets in later stages ofC.rodentiuminfection led to detailed analyses of the immune system and colon microbiota in mice fed 1(st)and 5(th)cutting chloroform extracts. Immediately following inoculation, 5(th)cutting chloroform extracts significantly reduced the relative abundance ofC.rodentium(P= 0.02) and did not display the early lymphocyte recruitment observed in 1(st)cutting extract. In later timepoints, both chloroform extracts maintained lower splenic B-cell and macrophage populations while increasing the relative abundance of potentially beneficially genera such asTuricibacter(P= 0.02). At 21dpi, only 5(th)cutting chloroform extracts increased the relative abundance of beneficialAkkermansiacompared to the control diet (P= 0.02). These results suggest that lipid soluble compounds enriched in late-cutting alfalfa modulate pathogen colonization and early immune responses toCitrobacter rodentium, contributing to protective effects on body weight.	[Fries-Craft, K.; Anast, J. M.; Schmitz-Esser, S.; Bobeck, E. A.] Iowa State Univ, Dept Anim Sci, Ames, IA 50011 USA; [Anast, J. M.; Schmitz-Esser, S.] Iowa State Univ, Interdept Microbiol Grad Program, Ames, IA USA	Bobeck, EA (corresponding author), Iowa State Univ, Dept Anim Sci, Ames, IA 50011 USA.	eabobeck@iastate.edu		Anast, Justin/0000-0003-4701-9342; Schmitz-Esser, Stephan/0000-0002-1907-0709				56	0	0	0	1	PUBLIC LIBRARY SCIENCE	SAN FRANCISCO	1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA	1932-6203			PLOS ONE	PLoS One	JUL 16	2020	15	7							e0236106	10.1371/journal.pone.0236106			25	Multidisciplinary Sciences	Science & Technology - Other Topics	MS0KU	WOS:000553976700015	32673362	Green Published, gold			2021-09-15	
J	Kusow, AM; DeLisi, M				Kusow, Abdi M.; DeLisi, Matt			Attitudes toward Immigration as a Sense of Group Position	SOCIOLOGICAL QUARTERLY			English	Article						Immigration; Prejudice; Blumer; Group Position; Attitudes	PUBLIC-OPINION; GROUP THREAT; AMERICAN ATTITUDES; PERCEPTIONS; PREJUDICE; RACE; CONTACT; POLICY; BLACK; US	Research on prejudice has historically employed Blumer's group position as a theoretical alternative to Allport's group conflict in understanding prejudice against members of minority groups. Our purpose in this study is to extend the theoretical parameters of group position into the domain of immigration by defining prejudice in terms of non-immigrant Americans versus immigrants. We find cultural identity threat and subjective economic threat are more significant in informing attitudes toward immigration than objective economic threat. This finding is consistent with and confirms Blumer's argument that prejudice as a sense of group position is primarily derived from feelings, and is therefore subjective in nature.	[Kusow, Abdi M.; DeLisi, Matt] Iowa State Univ, Sociol, 220 East Hall, Ames, IA 50011 USA	Kusow, AM (corresponding author), Iowa State Univ, Sociol, 220 East Hall, Ames, IA 50011 USA.	kusow@iastate.edu						49	1	1	2	6	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	0038-0253	1533-8525		SOCIOL QUART	Sociol. Q.	APR 3	2021	62	2					323	342		10.1080/00380253.2020.1756518		JUL 2020	20	Sociology	Sociology	RO8PK	WOS:000547084100001					2021-09-15	
J	Engelken, TJ				Engelken, Terry J.			How Does Housing Influence Bovine Respiratory Disease in Confinement Cow-Calf Operations?	VETERINARY CLINICS OF NORTH AMERICA-FOOD ANIMAL PRACTICE			English	Review						Confined cow-calf; Bovine respiratory disease; Animal flow; Health management		Confined cow-calf operations are a relatively new production model in the United States. As with any new technology, there will be a learning curve for producers and veterinarians as we attempt to optimize animal health and profitability. It is critical that cattle are managed properly in these units if disease issues are to be minimized. Allowing for adequate space in the pen and at the feed bunk is a critical factor affecting animal welfare, nutritional management, and disease transmission.	[Engelken, Terry J.] Iowa State Univ, Coll Vet Med, Dept Vet Diagnost & Prod Anim Med, 2438 Lloyd Vet Med Ctr, Ames, IA 50011 USA	Engelken, TJ (corresponding author), Iowa State Univ, Coll Vet Med, Dept Vet Diagnost & Prod Anim Med, 2438 Lloyd Vet Med Ctr, Ames, IA 50011 USA.	engelken@iastate.edu			Boehringer Ingelheim Animal HealthBoehringer Ingelheim	The confined cow/calf survey mentioned as reference 14 and cited in lines 279-281 was funded by Boehringer Ingelheim Animal Health. The name of the project was: A Survey of Production and Management Practices of Midwestern Confined Cow-Calf Operations.		17	1	1	2	10	W B SAUNDERS CO-ELSEVIER INC	PHILADELPHIA	1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, PA 19103-2899 USA	0749-0720	1558-4240		VET CLIN N AM-FOOD A	Vet. Clin. N. Am.-Food Anim. Pract.	JUL	2020	36	2					375	+		10.1016/j.cvfa.2020.03.011			10	Veterinary Sciences	Veterinary Sciences	LS1AE	WOS:000536123800011	32451031				2021-09-15	
J	Martin, P; Kim, J; Jasper, A; Baek, Y; Russell, D				Martin, Peter; Kim, Joseph; Jasper, Angelica; Baek, Yousun; Russell, Daniel			The development of a brief measure of health personality	JOURNAL OF HEALTH PSYCHOLOGY			English	Article; Early Access						adults; age; health care; health psychology; older persons	CARE; BEHAVIORS; VALIDITY; SEGMENTATION; RELIABILITY; VALIDATION; MORTALITY; PURPOSE; STRESS; ADULTS	The purpose of this research was to develop a brief assessment of health personality, defined as a set of individual dispositions that are directly related to health. In Study 1, an initial pool of items was developed with 615 older adults, 65 years of age and older. The scale was reduced to a 15-item version for use in applied health care settings. Results indicated that the 'Health Personality Assessment scale' has good internal consistency, and the five-factors correlated significantly with self-reported measures of physical health and well-being. In Study 2, the scale was cross-validated with 254 older adults from the Health Literacy and Cognitive Function among Older Adults Study. The scale was refined and a third study consisted of 3,907 older adults. Reliability and validity of the scale were confirmed. Future research should evaluate the usefulness of this scale in applied healthcare settings.	[Martin, Peter; Kim, Joseph; Jasper, Angelica; Baek, Yousun; Russell, Daniel] Iowa State Univ, Ames, IA USA	Martin, P (corresponding author), Iowa State Univ, Dept Human Dev & Family Studies, 1096 LeBaron Hall, Ames, IA 50011 USA.	pxmartin@iastate.edu	Baek, Yousun/AAH-7867-2021	Kim, Joseph/0000-0002-5996-4547	 [R01 AG030611]	We appreciate the support of the LitCog study, R01 AG030611; M. Wolf, principal investigator. (c) 2019 United HealthCare Services, Inc. The HPA instrument may be freely used for non-commercial purposes. Further information may be obtained from HealthPersonality@UHC.com		41	2	2	1	4	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1359-1053	1461-7277		J HEALTH PSYCHOL	J. Health Psychol.											1359105320931179	10.1177/1359105320931179		JUN 2020	13	Psychology, Clinical	Psychology	LZ6ZH	WOS:000541368900001	32529852				2021-09-15	
J	Biswas, A; Stinga, PR				Biswas, Animesh; Stinga, Pablo Raul			Regularity estimates for nonlocal space-time master equations in bounded domains	JOURNAL OF EVOLUTION EQUATIONS			English	Article						Master equations; Holder regularity; Extension problem; Compactness; Parabolic Holder spaces	EXTENSION PROBLEM	We obtain sharp parabolic interior and global Schauder estimates for solutions to nonlocal space-time master equations(partial derivative(t) + L)(s)u = f in R x omega, whereLis an elliptic operator in divergence form, subject to homogeneous Dirichlet and Neumann boundary conditions. In particular, we establish the precise behavior of solutions near the boundary. Along the way, we prove a characterization of the correct intermediate parabolic Holder spaces in the spirit of Sergio Campanato.	[Biswas, Animesh; Stinga, Pablo Raul] Iowa State Univ, Dept Math, 396 Carver Hall, Ames, IA 50011 USA	Biswas, A (corresponding author), Iowa State Univ, Dept Math, 396 Carver Hall, Ames, IA 50011 USA.	animbisw@iastate.edu; Stinga@iastate.edu	Stinga, Pablo Raul/ABG-1507-2020	Biswas, Animesh/0000-0001-9544-3100	Simons Foundation [580911]; Government of Spain [MTM2015-66157C2-1-P]	The authors were partially supported by Simons Foundation Grant 580911 and by Grant MTM2015-66157C2-1-P (MINECO/FEDER) from Government of Spain.		27	1	1	2	2	SPRINGER BASEL AG	BASEL	PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND	1424-3199	1424-3202		J EVOL EQU	J. Evol. Equ.	MAR	2021	21	1					503	565		10.1007/s00028-020-00590-1		JUN 2020	63	Mathematics, Applied; Mathematics	Mathematics	RG8FL	WOS:000539501000001		Green Submitted			2021-09-15	
J	Lee, J; Choi, J; Fatka, M; Swanner, E; Ikuma, K; Liang, XW; Leung, T; Howe, A				Lee, Jaejin; Choi, Jinlyung; Fatka, Micah; Swanner, Elizabeth; Ikuma, Kaoru; Liang, Xuewei; Leung, Tania; Howe, Adina			Improved detection of mcyA genes and their phylogenetic origins in harmful algal blooms	WATER RESEARCH			English	Article						Cyanobacterial harmful algal blooms; Microcystins; mcyA gene; Primer design; Quantitative PCR	MICROCYSTIN-PRODUCING CYANOBACTERIA; 16S RIBOSOMAL-RNA; FORMING CYANOBACTERIUM; WATER BODIES; LAKE; GENOTYPES; SYNTHETASE; QUANTIFICATION; POPULATIONS; DIVERSITY	Microcystins, a group of cyanotoxins produced by cyanobacterial strains, have become a significant microbial hazard to human and animal health due to increases in the frequency and intensity of cyanobacterial harmful algal blooms (CyanoHABs). Many studies have explored the correlation between microcystin concentrations and abundances of toxin-producing genes (e.g., mcyA genes) measured using quantitative PCR, and discrepancies between toxin concentrations and gene abundances are often observed. In this study, the results show that these discrepancies are at least partially due to primer sets that do not capture the phylogenetic diversity of naturally present toxin-producers. We designed three novel primer gene probes based on known mcyA genes to improve the detection and quantification of these genes in environmental samples. These primers were shown to improve the identification of mcyA genes compared to previously published primers in freshwater metagenomes, cyanobacterial isolates, and lake water samples. Unlike previously published primers, our primer sets could selectively amplify and resolve Microcystis, Anabaena, and Planktothrix mcyA genes. In lake water samples, abundance estimations of mcyA genes were found to correlate strongly with microcystin concentrations. Based on our results, these primers offer significant improvements over previously published probes to accurately identify and quantify mcyA genes in the environment. There is an increasing need to develop models based on microbial information and environmental factors to predict CyanoHABs, and improved primers will play an important role in aiding monitoring efforts to collect reliable and consistent data on toxicity risks. (C) 2020 Elsevier Ltd. All rights reserved.	[Lee, Jaejin; Choi, Jinlyung; Howe, Adina] Iowa State Univ, Agr & Biosyst Engn, Ames, IA USA; [Fatka, Micah; Swanner, Elizabeth; Leung, Tania] Iowa State Univ, Geol & Atmospher Sci, Ames, IA USA; [Ikuma, Kaoru; Liang, Xuewei] Iowa State Univ, Civil Construct & Environm Engn, Ames, IA USA	Howe, A (corresponding author), 1201 Sukup Hall, Ames, IA 50010 USA.	adina@iastate.edu	Swanner, Elizabeth/D-5799-2013	Swanner, Elizabeth/0000-0001-9507-0893; Lee, Jaejin/0000-0002-9793-9473	US Environmental Protection AgencyUnited States Environmental Protection Agency [EPA-G2017-STAR-A1]	This work was supported by the US Environmental Protection Agency [EPA-G2017-STAR-A1]. We are also grateful to Daniel Kendall and Amy Buckendahl of the Iowa Department of Natural Resources for providing lake water samples. We also acknowledge and thank Dr. James Cole and the Ribosomal Database Project (RDP) Team at Michigan State University for their support on using the EcoFunPrimer Tool to this work.		56	3	3	2	26	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0043-1354			WATER RES	Water Res.	JUN 1	2020	176								115730	10.1016/j.watres.2020.115730			8	Engineering, Environmental; Environmental Sciences; Water Resources	Engineering; Environmental Sciences & Ecology; Water Resources	LG7DG	WOS:000528256300014	32234603				2021-09-15	
J	Roy, S; Neihart, NM				Roy, Subhanwit; Neihart, Nathan M.			Fourier Analysis of Signal Waveforms in An Ideal Concurrent Dual-Band Class-D Power Amplifier	IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS			English	Article						Fourier series; Dual band; Power amplifiers; Transistors; Baluns; Circuits and systems; Power generation; Carrier aggregation; class-D; complex Fourier series; concurrent dual-band; power amplifiers	DESIGN	Recently, a concurrent dual-band class-D power amplifier has been demonstrated to overcome the limitations of reduced efficiency in concurrent dual-band linear power amplifiers. However, the configuration could not be symbolically analyzed like its single-band counterpart due to the complicated nature of dual-band signals. This brief aims to provide a theoretical basis for idealized concurrent dual-band class-D operation. It applies an alternate representation of the sum of two sinusoids which helps the formulation of a technique to analytically extract the complex Fourier series coefficients of the current and voltage waveforms of the power amplifier. Expressions for output power and efficiency are derived, showing a theoretical drain efficiency of 100%. The theoretically obtained results are validated using observations from literature as well as independent Harmonic Balance simulation.	[Roy, Subhanwit; Neihart, Nathan M.] Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA	Roy, S (corresponding author), Iowa State Univ, Dept Elect & Comp Engn, Ames, IA 50011 USA.	roys@iastate.edu		Roy, Subhanwit/0000-0002-2634-7163	National Science FoundationNational Science Foundation (NSF) [1509001]	This work was supported in part by the National Science Foundation under Grant 1509001. This brief was recommended by Associate Editor D. Jiang.		13	0	0	0	3	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1549-7747	1558-3791		IEEE T CIRCUITS-II	IEEE Trans. Circuits Syst. II-Express Briefs	MAY	2020	67	5					811	815		10.1109/TCSII.2020.2980732			5	Engineering, Electrical & Electronic	Engineering	LL1OJ	WOS:000531324100003		Green Submitted			2021-09-15	
J	Carr, AR; Patel, YH; Neff, CR; Charkhabi, S; Kallmyer, NE; Angus, HF; Reuel, NF				Carr, Adam R.; Patel, Yash H.; Neff, Charles R.; Charkhabi, Sadaf; Kallmyer, Nathaniel E.; Angus, Hector F.; Reuel, Nigel F.			Sweat monitoring beneath garments using passive, wireless resonant sensors interfaced with laser-ablated microfluidics	NPJ DIGITAL MEDICINE			English	Article							WEARABLE SENSORS; SODIUM; DEHYDRATION; HYDRATION; EXERCISE	Sweat loss can help determine hydration status of individuals working in harsh conditions, which is especially relevant to those who wear thick personal protective equipment (PPE) such as firefighters. A wireless, passive, conformable sweat sensor sticker is described here that can be worn under and interrogated through thick clothing to simultaneously measure sweat loss volume and conductivity. The sticker consists of a laser-ablated, microfluidic channel and a resonant sensor transducer. The resonant sensor is wirelessly read with a handheld vector network analyzer coupled to two, co-planar, interrogation antennas that measure the transmission loss. A sweat proxy is used to fill the channels and it is determined that the sensor can orthogonally determine the sweat conductivity and volume filled in the channel via peak transmission loss magnitude and frequency respectively. A four-person study is then used to determine level of sensor variance caused by local tissue dielectric heterogeneity and sensor-reader orientation.	[Carr, Adam R.; Patel, Yash H.; Neff, Charles R.; Charkhabi, Sadaf; Kallmyer, Nathaniel E.; Reuel, Nigel F.] Iowa State Univ, Dept Chem & Biol Engn, Ames, IA 50011 USA; [Angus, Hector F.] Iowa State Univ, Dept Kinesiol, Ames, IA USA	Reuel, NF (corresponding author), Iowa State Univ, Dept Chem & Biol Engn, Ames, IA 50011 USA.	reuel@iastate.edu			DHS-FEMA [EMW2017FP00607]; Graduate College, Iowa State University; James Katzer Energy Fellowship; ISU Nanovaccine Institute Pilot Study Grant	This study was supported by DHS-FEMA Award#: EMW2017FP00607. A.R.C. was supported in part by Graduate Dean Scholarship from the Graduate College, Iowa State University and James Katzer Energy Fellowship. Human study was funded by the ISU Nanovaccine Institute Pilot Study Grant. We acknowledge useful discussion of this work with Omar Elsherbiny and Dr. Nathan Neihart.		59	9	9	2	6	NATURE RESEARCH	BERLIN	HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY	2398-6352			NPJ DIGIT MED	npj Digit. Med.	APR 30	2020	3	1							62	10.1038/s41746-020-0270-2			9	Health Care Sciences & Services; Medical Informatics	Health Care Sciences & Services; Medical Informatics	LI7XZ	WOS:000529695000001		gold, Green Published			2021-09-15	
J	Bowers, AN; Santra, K; Trujillo-Rodriguez, MJ; Song, A; Emaus, MN; Petrich, JW; Anderson, JL				Bowers, Ashley N.; Santra, Kalyan; Trujillo-Rodriguez, Maria J.; Song, Anthony; Emaus, Miranda N.; Petrich, Jacob W.; Anderson, Jared L.			Fluorescence quenching of the SYBR Green I-dsDNA complex by in situ generated magnetic ionic liquids	ANALYTICAL AND BIOANALYTICAL CHEMISTRY			English	Article						DNA; In situ magnetic ionic liquids; Fluorescence spectroscopy; Fluorescence quenching; Fluorescence resonance energy transfer; Stern-Volmer relationship	DNA EXTRACTION; SOLVENTS; CHEMISTRY	Magnetic ionic liquids (MILs) with metal-containing cations are promising extraction solvents that provide fast and high efficiency extraction of DNA. Hydrophobic MILs can be generated in situ in a methodology called in situ dispersive liquid-liquid microextraction. To consolidate the sample preparation workflow, it is desirable to directly use the DNA-enriched MIL microdroplet in the subsequent analytical detection technique. Fluorescence-based techniques employed for DNA detection often utilize SYBR Green I, a DNA binding dye that exhibits optimal fluorescence when bound to double-stranded DNA. However, the MIL may hinder the fluorescence signal of the SYBR Green I-dsDNA complex due to quenching. In this study, MILs with metal-containing cations were selected and their fluorescence quenching effects evaluated using Forster Resonance Energy Transfer and quantified using Stern-Volmer models. The MILs were based on N-substituted imidazole ligands (with butyl- and benzyl- groups as substituents) coordinated to Ni2+ or Co2+ metal centers as cations, and paired with chloride anions. The effects of NiCl2 and CoCl2 salts and of the 1-butyl-3-methylimidazolium chloride ionic liquid on the fluorophore complex were also studied to understand the components of the MIL structure that are responsible for quenching. The metal within the MIL chemical structure was found to be the main component contributing to fluorescence quenching. Forster critical distances between 11.9 and 18.8 angstrom were obtained for the MILs, indicating that quenching is likely not due to non-radiative energy transfer but rather to spin-orbit coupling or excited-state electron transfer. The MILs were able to be directly used in qPCR and fluorescence emission measurements using a microplate reader for detection, demonstrating their applicability in fluorescence-based detection methods.	[Bowers, Ashley N.; Santra, Kalyan; Trujillo-Rodriguez, Maria J.; Song, Anthony; Emaus, Miranda N.; Petrich, Jacob W.; Anderson, Jared L.] Iowa State Univ, Dept Chem, 1605 Gilman Hall, Ames, IA 50011 USA	Anderson, JL (corresponding author), Iowa State Univ, Dept Chem, 1605 Gilman Hall, Ames, IA 50011 USA.	andersoj@iastate.edu	Trujillo-Rodriguez, Maria Jose/C-7041-2019	Trujillo-Rodriguez, Maria Jose/0000-0003-2153-0441	Chemical Measurement and Imaging Program at the National Science FoundationNational Science Foundation (NSF)NSF - Directorate for Mathematical & Physical Sciences (MPS) [CHE-1709372]	J. L. A. acknowledges funding from the Chemical Measurement and Imaging Program at the National Science Foundation (CHE-1709372).		40	2	2	3	17	SPRINGER HEIDELBERG	HEIDELBERG	TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY	1618-2642	1618-2650		ANAL BIOANAL CHEM	Anal. Bioanal. Chem.	MAY	2020	412	12			SI		2743	2754		10.1007/s00216-020-02538-3		APR 2020	12	Biochemical Research Methods; Chemistry, Analytical	Biochemistry & Molecular Biology; Chemistry	LJ0IK	WOS:000528158300002	32322952				2021-09-15	
J	Moore, EB				Moore, Eric Britt			Value your own hard work	SCIENCE			English	Letter									[Moore, Eric Britt] Iowa State Univ, Dept Agron, Ames, IA 50011 USA	Moore, EB (corresponding author), Iowa State Univ, Dept Agron, Ames, IA 50011 USA.	ebm256@iastate.edu						0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA	0036-8075	1095-9203		SCIENCE	Science	APR 3	2020	368	6486					28	28					1	Multidisciplinary Sciences	Science & Technology - Other Topics	KZ4UP	WOS:000523259700039					2021-09-15	
J	Sargam, Y; Wang, KJ; Alleman, JE				Sargam, Yogiraj; Wang, Kejin; Alleman, James E.			Effects of Modern Concrete Materials on Thermal Conductivity	JOURNAL OF MATERIALS IN CIVIL ENGINEERING			English	Article						Concrete; Thermal conductivity; Supplementary cementitious materials (SCMs); Lightweight aggregate; Recycled aggregate; Fiber	RECYCLED AGGREGATE CONCRETE; MECHANICAL-PROPERTIES; PREDICTION; STRENGTH; IMPACT	Thermal conductivity, k, is one of the key factors that control heat transfer in concrete. This paper presents the results of an experimental study conducted to analyze the effects of modern concrete materials, such as supplementary cementitious materials (SCMs), normal-weight, lightweight, and recycled aggregates, and steel and polypropylene (PP) fibers, on the thermal conductivity of concrete. The thermal conductivity tests were performed on cylindrical specimens of concrete mixes containing various amounts of these materials. The results indicate that k values of concrete reduced with the amount of SCM (slag and fly ash) replacement for cement. The mineralogy and absorption of normal weight aggregate considerably affect k value of concrete. Replacing normal weight coarse aggregate by lightweight or recycled aggregate reduced the k value of concrete. Addition of steel fiber at a dosage higher than 0.25% (by volume) increased k value of concrete noticeably, whereas the addition of up to 2% PP fiber showed little effect.	[Sargam, Yogiraj] Iowa State Univ, Dept Civil Construct & Environm Engn, 136 Town Engn Bldg, Ames, IA 50011 USA; [Wang, Kejin] Iowa State Univ, Dept Civil Construct & Environm Engn, 412 Town Engn Bldg, Ames, IA 50011 USA; [Alleman, James E.] Iowa State Univ, Dept Civil Construct & Environm Engn, 420 Town Engn Bldg, Ames, IA 50011 USA	Wang, KJ (corresponding author), Iowa State Univ, Dept Civil Construct & Environm Engn, 412 Town Engn Bldg, Ames, IA 50011 USA.	ysargam@iastate.edu; kejinw@iastate.edu; jea@iastate.edu	Sargam, Yogiraj/AAE-9627-2020	Sargam, Yogiraj/0000-0001-9980-3038	Iowa Highway Research Board (IHRB)	The present study is a part of a research project "Evaluate, Modify, and Adapt the ConcreteWorks Software for Iowa's Use," sponsored by the Iowa Highway Research Board (IHRB). The authors acknowledge the sponsorship.		57	11	11	3	17	ASCE-AMER SOC CIVIL ENGINEERS	RESTON	1801 ALEXANDER BELL DR, RESTON, VA 20191-4400 USA	0899-1561	1943-5533		J MATER CIVIL ENG	J. Mater. Civ. Eng.	APR 1	2020	32	4							04020058	10.1061/(ASCE)MT.1943-5533.0003026			11	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Construction & Building Technology; Engineering; Materials Science	KO4IT	WOS:000515514000030					2021-09-15	
